2014   1  0 2461 51 52  57   6   4.8   4.3  -6.5  84.6   0.4   4.3  -0.5   4.3   0.6   0.1   1.8   1.3   0.4   1.2  103492.   6.2  399.  -0.4  -4.4 0.014  1.74    4395.   0.1    3.   0.5   0.1 0.001  -0.24   2.60  10.3  7 124     4   25 999999.99 99999.99 99999.99     0.15     0.07     0.04 -1   3 154.3   0.6   -15    10  5.7
2014   1  1 2461 51 52  60  37   5.0   4.7 -13.6  61.4   2.2   4.0  -1.1   4.1  -0.2   0.3   1.5   0.9   0.5   1.1   96655.   6.4  395.  -0.9  -4.5 0.017  1.78   11447.   0.4    4.   0.6   0.7 0.004   0.08   2.40  10.0  7 124     3   36 999999.99 99999.99 99999.99     0.16     0.07     0.05 -1   3 154.3   1.4   -25    11  5.7
2014   1  2 2461 51 52  57  35   5.5   4.7 -33.2  74.2   1.1   3.8  -2.6   4.2  -1.8   0.2   2.9   2.3   1.6   0.6   87826.   5.9  386.  -1.4  -3.9 0.023  1.60   10222.   0.5    8.   1.3   0.8 0.005   0.69   1.75   8.5  7 124     1   33 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1   3 154.3   1.5   -12    21  5.4
2014   1  3 2461 51 52  59  34   5.5   5.4 -37.2  97.4  -0.5   4.2  -3.3   4.6  -2.6   0.2   1.0   0.6   0.5   0.6   90879.   6.6  376.  -2.8  -3.7 0.028  1.73    7724.   0.4    3.   0.4   0.5 0.004   0.98   1.99   8.8 13 124     1   57 999999.99 99999.99 99999.99     0.15     0.07     0.05 -1   5 154.3   1.6   -18    40  5.3
2014   1  4 2461 51 52  59  36   6.2   6.0 -41.9 112.3  -1.7   4.1  -4.0   4.5  -3.6   0.3   1.5   0.9   0.8   0.9   80036.   6.6  372.  -3.0  -3.6 0.032  1.72    7456.   0.4    4.   0.7   0.8 0.004   1.34   1.49   7.7 13 124    -1  112 999999.99 99999.99 99999.99     0.16     0.08     0.05 -1   5 154.3   1.9   -35    77  5.1
2014   1  5 2461 51 52  59  36   6.8   6.6 -44.3 113.5  -1.9   4.4  -4.6   4.6  -4.4   0.2   1.5   0.8   0.7   1.1   85051.   7.2  374.  -3.6  -3.2 0.027  1.86    7642.   0.2    4.   0.4   0.7 0.004   1.65   1.38   7.4 13 124    -4  166 999999.99 99999.99 99999.99     0.14     0.07     0.04 -1   5 154.3   2.1   -64   103  5.0
2014   1  6 2461 51 52  61  37   6.3   5.6 -15.5 125.1  -3.1   4.4  -1.5   4.4  -1.5   0.3   3.0   1.7   0.5   2.5   76914.   7.1  369.  -3.7  -4.3 0.030  1.81    4866.   0.3    5.   0.4   1.2 0.003   0.55   1.53   7.8 20 124    -6  126 999999.99 99999.99 99999.99     0.15     0.07     0.05 -1   7 154.3   1.7   -48    78  5.1
2014   1  7 2461 51 52  61  35   6.4   6.3 -27.7 110.4  -1.9   5.2  -2.9   5.1  -3.1   0.4   1.2   0.5   0.4   1.1   76242.   7.2  371.  -4.2  -3.7 0.030  1.85   12105.   0.6    5.   0.4   0.6 0.002   1.15   1.50   7.8 20 124    -7  135 999999.99 99999.99 99999.99     0.16     0.08     0.05 -1   7 154.3   1.9   -78    58  5.1
2014   1  8 2461 51 52  58  36   7.6   6.6  26.4 144.6  -4.8   3.4   2.9   3.6   2.6   0.3   3.9   1.1   1.7   3.3   74696.   9.1  376.  -3.2  -8.4 0.038  2.48   10562.   0.6    3.   1.6   2.4 0.005  -0.98   1.33   7.5 20 124    -5  134 999999.99 99999.99 99999.99     0.13     0.06     0.04 -1   7 154.3   1.4   -94    40  5.1
2014   1  9 2461 51 52  63  37   8.0   7.5  23.4 116.7  -3.1   6.2   3.0   6.5   2.4   0.3   2.5   1.6   1.3   1.4   81133.  11.3  380.  -4.3  -9.8 0.050  3.27    9377.   1.6    5.   0.8   0.9 0.008  -0.91   1.54   8.0 20 124     3  125 999999.99 99999.99 99999.99     0.11     0.06     0.04 -1   7 154.3   1.0   -89    36  5.2
2014   1 10 2461 51 52  60  37   9.7   8.8 -25.9 108.1  -2.5   7.5  -3.8   7.1  -4.5   0.5   3.9   1.4   0.7   3.5   94418.  13.2  384.  -6.1  -7.2 0.050  3.90   10217.   1.5    6.   0.7   1.8 0.006   1.73   1.30   7.2 20 124    12  287 999999.99 99999.99 99999.99     0.14     0.07     0.04 -1   7 154.3   2.3  -190    97  4.9
2014   1 11 2461 51 52  58  33  11.7  11.2 -27.7  88.7   0.2  10.0  -5.2   9.5  -6.1   1.2   3.0   1.3   1.1   2.5   94424.  16.3  404.  -6.2  -6.8 0.045  5.24    9891.   1.7    6.   0.8   1.2 0.005   2.46   1.10   7.0 20 124    10  622 999999.99 99999.99 99999.99     0.13     0.06     0.04 -1   7 154.3   4.3  -430   192  5.0
2014   1 12 2461 51 52  60  34  13.6  10.5 -44.7  57.1   4.1   6.3  -7.4   5.7  -7.9   1.7   8.7   5.3   2.6   6.4   98862.  14.2  420.  -5.4  -6.3 0.054  5.09   22592.   3.8    7.   1.1   1.3 0.015   3.32   0.73   5.8 37 124    -1  715 999999.99 99999.99 99999.99     0.14     0.07     0.05 -1  22 154.3   4.5  -577   139  4.6
2014   1 13 2461 51 52  59  29  14.5  14.0 -34.2  39.7   8.9   7.4  -7.9   7.0  -8.3   1.1   3.6   1.4   1.8   2.8  135366.  11.5  421.  -5.0  -8.5 0.061  4.23   30046.   1.7    8.   0.7   1.5 0.010   3.49   0.60   4.9 37 124   -19  806 999999.99 99999.99 99999.99     0.13     0.07     0.05 -1  22 154.3   4.1  -708    99  4.0
