# SEU Times,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
08/11/2013 21:38,6.993,-96.289,441.99,-741.534,-6728.966,825.223,0.888469,1.233249,7.675479
10/11/2013 0:44,-75.486,176.348,1202.17,-1900.924,121.34,-7316.392,-5.515899,-3.929916,1.884817
12/11/2013 0:36,-55.329,44.958,1468.2,3164.293,3159.646,-6429.827,-5.000319,-2.797858,-3.613188
14/11/2013 12:59,-75.85,-17.652,1084.47,1743.133,-554.685,-7214.21,6.355807,2.657722,1.902772
16/11/2013 22:32,62.68,35.351,883.85,2724.743,1932.894,6428.974,3.950954,5.58825,-2.685661
18/11/2013 9:08,15.265,-111.341,1355.08,-2715.548,-6950.146,2025.138,-0.234673,-2.200083,-6.523658
20/11/2013 5:11,31.668,132.332,350.52,-3859.952,4237.288,3513.14,1.896963,-3.638445,6.778524
22/11/2013 10:07,-44.298,39.563,549.04,3827.926,3162.624,-4815.266,2.954788,4.166559,5.769546
24/11/2013 0:41,46.886,-2.96,1231.61,5201.794,-269.001,5532.139,5.386864,0.95582,-4.372602
26/11/2013 5:19,-6.31,112.043,330.95,-2502.772,6181.241,-732.709,-1.020238,0.458865,7.866467
28/11/2013 10:30,-18.774,27.754,341.42,5632.015,2963.596,-2149.525,1.735213,1.880499,7.509697
30/11/2013 11:53,-65.196,-154.162,979,-2784.547,-1348.386,-6655.6,6.844099,0.548217,-2.338377
02/12/2013 5:35,-1.991,96.727,348.68,-787.479,6676.503,-232.167,-0.804404,0.337668,7.877404
04/12/2013 5:32,-34.432,87.688,346.99,223.993,5547.998,-3782.265,-0.932585,4.365888,6.549829
06/12/2013 5:15,-59.137,-70.401,881.09,1251.818,-3515.741,-6208.124,-0.265684,6.646222,-3.13605
08/12/2013 11:01,10.596,4.857,483.55,6721.162,571.125,1254.063,-1.065344,0.665693,7.675027
10/12/2013 6:57,-25.596,-114.987,1097.43,-2849.417,-6114.189,-3212.836,2.171839,2.875985,-6.161751
12/12/2013 0:30,-73.164,122.469,418.1,-1059.805,1665.569,-6482.729,-6.851216,3.109853,2.224068
14/12/2013 20:06,67.264,-123.436,1183.37,-1614.146,-2444.673,6951.264,5.415334,3.385765,2.978063
16/12/2013 13:21,75.545,-10.031,1305.88,1893.66,-334.965,7418.785,-4.380567,5.068054,1.756616
18/12/2013 15:24,50.759,86.104,1461.36,337.507,4955.775,6048.442,-0.982508,5.137905,-4.311011
20/12/2013 4:27,-12.789,76.425,551.38,1586.349,6569.821,-1524.716,-0.225354,2.263632,7.359511
22/12/2013 23:49,70.304,168.665,1384.31,-2571.392,515.44,7285.889,4.976633,-4.069529,2.362987
24/12/2013 20:38,71.614,-21.749,1474.51,2306.225,-920.05,7429.475,6.410691,0.889956,-1.958906
26/12/2013 2:54,-16.995,87.367,652.78,308.998,6718.51,-2043.137,-0.633836,2.734539,7.056735
28/12/2013 7:59,-44.247,0.669,498.87,4933.421,57.565,-4775.851,5.592367,1.408151,5.189365
30/12/2013 17:18,80.608,-27.657,1469.05,1137.25,-595.973,7720.337,4.761138,4.787391,-0.44142
01/01/2014 17:04,36.828,-128.65,1324.65,-3854.608,-4820.022,4596.144,3.083824,2.396827,5.703004
03/01/2014 22:28,71.557,167.293,1477.98,-2430.467,548.036,7430.299,4.820326,-4.357717,1.857469
05/01/2014 10:07,2.263,-38.364,1113.94,5869.882,-4646.361,294.095,0.543117,0.30516,7.09486
07/01/2014 19:55,-56.374,3.363,347.86,3726.43,218.948,-5577.28,-6.492331,1.600102,-4.250405
09/01/2014 16:05,45.05,34.432,956.87,4280.451,2934.354,5168.486,3.128208,3.6485,-5.462919
11/01/2014 7:16,77.398,37.231,1382.33,1351.639,1027.098,7551.65,-6.741804,0.936357,0.766982
13/01/2014 14:06,62.924,-96.485,1432.18,-402.39,-3540.01,6931.326,2.746398,5.575187,2.767098
15/01/2014 21:10,79.331,-102.018,1168.24,-291.685,-1370.198,7394.194,4.99826,-4.837304,-1.205275
17/01/2014 20:18,-76.156,104.219,683.32,-416.215,1642.576,-6834.376,-6.097621,4.380099,0.863691
19/01/2014 12:07,-7.367,-97.736,1356.34,-1032.534,-7601.172,-986.334,0.370971,-1.252441,6.759326
21/01/2014 14:08,37.83,-123.796,1438.99,-3437.876,-5136.226,4773.103,3.125697,3.036305,5.221478
23/01/2014 0:49,66.055,-134.883,807.89,-2063.195,-2071.668,6544.793,-2.402022,-6.181911,-3.342077
25/01/2014 5:49,72.229,16.05,1120.64,2205.245,634.443,7118.692,-6.761189,1.689813,1.392522
27/01/2014 19:08,-8.179,140.538,1453.76,-5985.403,4927.325,-1108.263,-1.154735,0.279205,6.685896
29/01/2014 9:56,-39.617,104.043,461.09,-1280.008,5117.447,-4339.367,-0.058172,-4.747695,-6.185808
31/01/2014 4:09,63.323,18.22,1052.84,3176.239,1045.542,6616.996,-6.698195,0.182833,2.566768
02/02/2014 13:10,19.268,36.777,330.88,5074.463,3793.022,2200.608,1.512257,2.208745,-7.477393
04/02/2014 16:52,-41.529,-11.84,595.95,5116.801,-1072.657,-4601.654,-4.248812,2.14246,-5.992062
06/02/2014 16:11,56.958,-179.462,937.03,-3996.634,-37.531,6108.849,6.227048,-1.751234,3.368732
08/02/2014 8:59,-9.66,-90.476,1428.14,-63.951,-7695.913,-1302.84,0.522574,-0.944261,6.727985
10/02/2014 10:32,-43.074,-124.646,1468.12,-3262.468,-4721.148,-5336.198,-1.765867,-4.394141,4.838733
12/02/2014 12:12,-53.383,-157.528,1460.58,-4328.127,-1790.256,-6268.38,-4.418683,-3.398406,3.851363
14/02/2014 18:40,-51.85,-55.405,958.91,2577.904,-3737.606,-5746.614,-1.705781,5.147213,-4.843692
16/02/2014 12:30,-1.567,-157.979,1230.01,-7050.497,-2851.568,-206.828,0.448324,-0.411274,6.978651
18/02/2014 9:26,73.562,-83.185,495.01,231.454,-1936.71,6570.077,3.37662,6.832449,1.449382
20/02/2014 11:45,-37.846,32.678,968.37,4888.381,3135.628,-4486.104,-3.859458,-1.2613,-6.021461
22/02/2014 0:42,42.649,16.583,662.93,4970.337,1480.15,4748.051,-5.569723,-0.364049,5.126909
24/02/2014 1:02,52.977,167.173,358.87,-3963.342,902.391,5355.552,-6.492459,-0.336081,-4.50279
26/02/2014 16:52,-40.258,-55.934,1159.97,3226.197,-4771.116,-4849.459,-1.442846,3.986357,-5.657359
28/02/2014 23:35,-15.375,-166.374,969.2,-6886.373,-1669.358,-1937.146,1.470145,-0.330859,-7.105249
02/03/2014 14:14,15.383,150.84,690.83,-5953.183,3321.641,1864.25,1.842357,-1.868657,7.080055
04/03/2014 9:26,72.807,6.021,368.52,1988.979,209.774,6422.97,6.069371,4.714295,-1.814143
